Current_Word,Next_Word,Levenshtein_distance
Duty:,Finest,6
Finest,Hour,6
Hour,World,4
World,War,3
War,Russia,6
Russia,North,6
North,Africa,5
Africa,Medal,6
Medal,Honor:,6
Honor:,Pacific,7
Pacific,Assault,7
Assault,Pacific,7
Pacific,Guadalcanal,9
Guadalcanal,Pearl,9
Pearl,Harbour,6
Harbour,US,7
US,Pacific,7
Pacific,Assault,7
Assault,US,7
US,Hawaii,6
Hawaii,Japanese,6
Japanese,Half,7
Half,Life,4
Life,Call,4
Call,Duty,4
Duty,Finest,6
Finest,Hour,6
Hour,Letting,7
Letting,Call,7
Call,Duty,4
Duty,PC,4
PC,PC,0
PC,Call,4
Call,Duty,4
Duty,PC,4
PC,Targeting,9
Targeting,PS2,9
PS2,Checkpoints,11
Checkpoints,PC,11
PC,Pacific,6
Pacific,Assault,7
Assault,Pacific,7
Pacific,Assault,7
Assault,Far,6
Far,Cry,3
Cry,Finest,6
Finest,Hour,6
Hour,PC,4
Souped-up,Super,5
Super,UK,5
UK,Ultra,4
Ultra,Wideband,7
Wideband,Ofcom,8
Ofcom,UWB-using,9
UWB-using,UWB,6
UWB,One,3
One,UWB,3
UWB,DVD,3
DVD,TV,2
TV,UWB,3
UWB,Personal,8
Personal,Area,6
Area,Networks,7
Networks,Consumer,8
Consumer,Electronics,11
Electronics,Show,10
Show,Las,4
Las,Vegas,3
Vegas,UWB,5
UWB,Currently,9
Currently,UWB,9
UWB,UK,2
UK,UWB,2
UWB,Ofcom,5
Ofcom,Companies,9
Companies,March,8
March,April,4
April,EC,5
EC,Europe-wide,10
Europe-wide,UWB,11
UWB,European,8
European,Conference,9
Conference,Postal,9
Postal,Telecommunications,16
Telecommunications,Administrations,11
Administrations,Early,14
Early,CEPT,5
CEPT,UWBs,4
UWBs,Ofcom,5
Ofcom,UWB,5
UWB,Ofcom,5
Ofcom,UWB-using,9
UWB-using,Despite,8
Despite,Cambridge-based,13
Cambridge-based,Ubisense,10
Ubisense,David,8
David,Theriault,8
Theriault,Ubisense,9
Ubisense,UWB,7
UWB,European,8
European,UWB,8
UWB,IEEE,4
IEEE,Prior,5
Prior,UWB,5
Speech,Scottish,6
Scottish,Called,8
Called,Speegle,6
Speegle,Scottish,7
Scottish,CEC,8
CEC,Systems,7
Systems,November,7
November,Edinburgh-based,13
Edinburgh-based,CEC,15
CEC,According,9
According,Ask,8
Ask,Jeeves,6
Jeeves,People,5
People,Speegle,4
Speegle,BBC,7
BBC,Reuters,7
Reuters,Speegle,7
Speegle,Gordon,7
Gordon,Renton,4
Renton,Royal,5
Royal,National,5
National,Institute,7
Institute,Blind,8
Blind,Julie,4
Julie,Howell,6
Howell,RNIB,6
RNIB,Speegle,7
Speegle,PanaVox,7
PanaVox,CEC,7
CEC,Visitors,8
Visitors,Speegle,8
Speegle,Google,4
Google,Google,0
Google,Speegle,4
Speegle,Mr,7
Mr,Renton,6
Renton,Google,6
Google,Speegle,4
Speegle,English,7
English,Japan,7
Japan,China,5
China,Mr,5
Mr,Renton,6
Gamer,Australian,9
Australian,Deathifier,8
Deathifier,Project,10
Project,Entropia,7
Entropia,RPG,8
RPG,Entropia,8
Entropia,Earlier,6
Earlier,GDP,7
GDP,African,7
African,Namibia,6
Namibia,Marco,6
Marco,Behrmann,7
Behrmann,Mindark,7
Mindark,Deathifier,9
Deathifier,Deathifier,0
Deathifier,Entopia,8
Entopia,PED,7
PED,Entropia,8
Entropia,Dollars,8
Dollars,Ten,7
Ten,PEDs,4
PEDs,US,4
US,Gamers,6
Gamers,PEDs,5
PEDs,Entropia,8
Entropia,MMORPGs,8
MMORPGs,Almost,7
Almost,Project,6
Project,Entropia,7
Voters,Voting,3
Voting,Bloggies,6
Bloggies,Nominations,9
Nominations,Sunday,10
Sunday,Weblogs,7
Weblogs,Blogs,3
Blogs,US,5
US,Technorati,10
Technorati,US,10
US,Pew,3
Pew,Internet,7
Internet,American,7
American,Life,7
Life,Nikolai,6
Nikolai,Nolan,3
Nolan,Bloggies,7
Bloggies,BBC,7
BBC,News,4
News,Id,4
Id,Bloggies,8
Bloggies,Several,8
Several,South-East,8
South-East,Asia,9
Asia,Earthquake,9
Earthquake,Tsunami,9
Tsunami,Blog,7
Blog,Mr,4
Mr,Nolan,5
Nolan,Bloggies,7
Bloggies,Fighting,7
Fighting,Gawker,8
Gawker,Fish,6
Fish,Needs,5
Needs,Bicycle,7
Bicycle,Wonkette,7
Wonkette,Boing,7
Boing,Boing,0
Boing,Gothamist,7
Gothamist,South-East,5
South-East,Asia,9
Asia,Earthquake,9
Earthquake,Tsunami,9
Tsunami,Blog,7
Blog,GreenFairyDotcom,15
GreenFairyDotcom,Londonist,14
Londonist,Hicksdesign,9
Hicksdesign,PlasticBag,10
PlasticBag,London,10
London,Underground,8
Underground,Tube,10
Tube,Blog,4
Blog,British,6
British,Irish,3
Irish,Included,7
Included,Nominations,10
Nominations,Flickr,10
Flickr,Podcasting,9
Podcasting,RSS,10
RSS,Many,4
Many,Three,5
Three,One,4
One,Bloggies,7
Bloggies,Public,7
Public,February,7
February,March,7
Rich,Viruses,6
Viruses,PCs,6
PCs,Viruses,6
Viruses,Instead,7
Instead,Pete,5
Pete,Simpson,7
Simpson,Clearswift,9
Clearswift,Mr,9
Mr,Simpson,7
Simpson,Eastern,6
Eastern,Europe,6
Europe,Former,5
Former,Marek,4
Marek,Strihavka,7
Strihavka,Benny,9
Benny,Paul,5
Paul,King,4
King,Cisco,4
Cisco,Mr,5
Mr,King,4
King,Mr,4
Mr,King,4
King,Many,3
Many,Gary,2
Gary,Stowell,7
Stowell,St,5
St,Bernard,7
Bernard,Mr,6
Mr,Stowell,7
Stowell,So-called,6
So-called,PCs,9
Digital,PC,7
PC,Nicholas,8
Nicholas,Negroponte,8
Negroponte,MITs,10
MITs,Media,4
Media,Labs,5
Labs,PC,4
PC,BBC,2
BBC,World,5
World,Service,6
Service,Go,7
Go,Digital,7
Digital,Linux-based,9
Linux-based,Mr,11
Mr,Negroponte,9
Negroponte,Mr,9
Mr,Negroponte,9
Negroponte,Digital,9
Digital,US,7
US,Maine,5
Maine,However,6
However,Mr,6
Mr,Negroponte,9
Negroponte,Cambodia,9
Cambodia,TV,8
TV,Mr,2
Mr,Negroponte,9
Negroponte,Chinese,9
Chinese,China,3
China,Thats,4
Camera,Four,5
Four,Europe,5
Europe,Gartner,5
Gartner,Globally,7
Globally,Improving,9
Improving,Europe,7
Europe,Japan,6
Japan,Asia,4
Asia,Pacific,6
Pacific,Japan,6
Japan,Gartner,5
Gartner,Camera,5
Camera,MMS,6
MMS,Messaging,8
Messaging,Services,8
Services,Handset,7
Handset,Realising,7
Realising,Mobile,8
Mobile,Image,5
Image,Gartner,6
Gartner,Consumer,6
Consumer,Images,7
Images,Mencap,6
Mencap,Fonetography,9
Fonetography,David,11
David,Bailey,5
Bailey,Rankin,5
Rankin,Nan,4
Nan,Goldin,5
Goldin,Sir,5
Sir,Peter,4
Peter,Blake,5
Blake,Tracey,4
Tracey,Emin,6
Emin,Jack,4
Jack,Vettriano,8
Vettriano,Intel,8
Intel,Samsung,7
Samsung,UKs,6
UKs,Foreign,7
Foreign,Office,6
Office,Lawrence,6
Lawrence,Livermore,6
Livermore,National,9
National,Laboratories,10
Laboratories,US,12
US,Many,4
Many,Italys,4
Italys,According,9
According,Sony,7
Sony,Ericssons,7
Ericssons,September,9
Joke,Anti-virus,10
Anti-virus,Bagle,10
Bagle,Windows,7
Windows,Microsoft,7
Microsoft,Outlook,7
Outlook,Bagle,6
Bagle,PCs,5
PCs,BagleAT,7
BagleAT,BagleBB,2
BagleBB,BagleAU,2
BagleAU,Windows,7
Windows,ME,7
ME,NT,2
NT,XP,2
XP,Users,5
Users,Microsoft,7
Microsoft,Outlook,7
Outlook,BagleAT,6
BagleAT,Windows,7
Windows,XP,7
XP,BBC,3
BBC,News,4
News,Online,6
Online,Finnish,5
Finnish,F-Secure,7
F-Secure,Mikko,8
Mikko,Hypponen,7
Hypponen,F-Secure,8
F-Secure,Security,5
Security,Network,7
Network,Box,6
Box,Black,4
Black,Spider,6
Spider,BagleAT,6
BagleAT,BST,5
BST,GMT,2
GMT,Anti-virus,10
Fast,Security,7
Security,Cabir,7
Cabir,Cabir,0
Cabir,Symbian,5
Symbian,Series,5
Series,Despite,5
Despite,Cabir,6
Cabir,Cabir,0
Cabir,Cabir,0
Cabir,However,6
However,Cabir,6
Cabir,Bluetooth,9
Bluetooth,Bluetooth,0
Bluetooth,Cabir,9
Cabir,Users,5
Users,Symbian,7
Symbian,Bluetooth,9
Bluetooth,Finnish,8
Finnish,F-Secure,7
F-Secure,Cabir,7
Cabir,Bluetooth,9
Bluetooth,Anti-virus,10
Anti-virus,Sophos,9
Sophos,Cabir,6
Cabir,Brazilian,7
Brazilian,Cabir,7
Cabir,Skulls,6
Skulls,November,8
November,Symbians,8
Symbians,Series,5
Series,Nokia,5
Nokia,LG,5
LG,Electronics,11
Electronics,Lenovo,9
Lenovo,Panasonic,7
Panasonic,Samsung,6
Samsung,Sendo,6
Sendo,Siemens,5
Blogger,US,7
US,Queen,5
Queen,Sky,5
Sky,Ellen,5
Ellen,Simonetti,8
Simonetti,Delta,7
Delta,Airlines,7
Airlines,Ms,7
Ms,Simonetti,9
Simonetti,Delta,7
Delta,Airlines,7
Airlines,Ms,7
Ms,Simonetti,9
Simonetti,BBC,9
BBC,News,4
News,Online,6
Online,Ms,6
Ms,Simonetti,9
Simonetti,September,8
September,US,9
US,Equal,5
Equal,Employment,9
Employment,Opportunity,8
Opportunity,Commission,10
Commission,Delta,10
Delta,Airlines,7
Airlines,BBC,8
BBC,News,4
News,Online:,7
Online:,Ms,7
Ms,Simonetti,9
Simonetti,January,8
January,Anonymous,8
Anonymous,Airline,8
Airline,Quirksville,7
Quirksville,Queen,9
Queen,Sky,5
Sky,Ms,3
Ms,Simonetti,9
Simonetti,Ms,9
Ms,Simonetti,9
Simonetti,Delta,7
Delta,Airline,6
Airline,Ms,7
Ms,Simonettis,9
Simonettis,Ms,9
Ms,Simonetti,9
Simonetti,Jeffrey,8
Jeffrey,Matsuura,8
Matsuura,University,10
University,Dayton,10
Dayton,Mr,6
Mr,Matsuura,6
Matsuura,Delta,7
Delta,Ms,5
Ms,Simonetti,9
Simonetti,Ms,9
Ms,Simonetti,9
Simonetti,One,7
Ask,Jeeves,6
Jeeves,Ask,6
Ask,Jeeves,6
Jeeves,Bloglines,7
Bloglines,Bloglines,0
Bloglines,Ask,9
Ask,Jeeves,6
Jeeves,Bloglines,7
Bloglines,Ask,9
Ask,Jeeves,6
Jeeves,Bloglines,7
Bloglines,Bloglines,0
Bloglines,Really,8
Really,Simple,5
Simple,Syndication,9
Syndication,Google,11
Google,Pyra,6
Pyra,Labs,4
Labs,Blogger,7
Blogger,MSN,7
MSN,Yahoo,5
Yahoo,Jim,5
Jim,Lanzone,7
Lanzone,Ask,7
Ask,Jeeves,6
Jeeves,US,6
US,Bloglines,9
Bloglines,Ask,9
Ask,Jeeves,6
Jeeves,Mr,6
Mr,Lanzone,7
Lanzone,Asks,7
Asks,Jeeves,5
Jeeves,RSS,6
RSS,Ask,3
Ask,Jeeves,6
Jeeves,Bloglines,7
Bloglines,Mr,9
Mr,Lanzone,7
Lanzone,Though,7
Though,Mr,6
Mr,Lanzone,7
Lanzone,Ask,7
Ask,Jeeves,6
Jeeves,Bloglines,7
Bloglines,Mr,9
Mr,Lanzone,7
Lanzone,Rumours,7
Rumours,Napsterization,13
Napsterization,Ask,13
Ask,Jeeves,6
Google,TV,6
TV,Google,6
Google,TV,6
TV,Google,6
Google,Video,6
Video,US,5
US,Results,7
Results,Google,6
Google,Googles,1
Googles,TV,7
TV,Jonathan,8
Jonathan,Rosenberg,8
Rosenberg,Googles,7
Googles,TV,7
TV,Google,6
Google,Video,6
Video,US-based,7
US-based,PBS,8
PBS,NBA,2
NBA,Fox,3
Fox,News,4
News,C-SPAN,6
C-SPAN,December,8
December,Google,7
Google,Google,0
Google,Video,6
Video,Google,6
Google,BBC,6
BBC,News,4
News,US,4
US,Rival,5
Rival,Yahoo,5
Yahoo,TV,5
TV,Financial,9
Financial,Times,8
Times,Monday,6
Monday,Yahoo,6
Yahoo,Bloomberg,8
Bloomberg,BBC,8
BBC,BSkyB,4
BSkyB,TV,5
Latest,Opera,5
Opera,Net,4
Net,Opera,4
Opera,IBM,5
IBM,Windows,7
Windows,Opera,7
Opera,Opera,0
Opera,Berit,4
Berit,Hanson,6
Hanson,Another,7
Another,Opera,6
Opera,Ms,5
Ms,Hanson,5
Hanson,Unlike,6
Unlike,Opera,6
Opera,Around,6
Around,English,7
English,Opera,7
Opera,Opera,0
Opera,Norwegian,7
Norwegian,Telenor,8
Apple,Computer,6
Computer,Apple,6
Apple,MacWorld,7
MacWorld,San,7
San,Francisco,7
Francisco,Santa,7
Santa,Clara,4
